                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3   delusion12    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard2    jacblack2    jacblack3  jakandjill1    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16    sqmchnt17    sqmchnt18    sqmchnt19     sqmchnt1    sqmchnt20    sqmchnt21    sqmchnt22    sqmchnt23    sqmchnt24    sqmchnt25     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                        1carat Diamond        68220         4444            0         3847            0            0            0            0            0            0            0            0            0         1108         1336          251            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         7990         6134            0          272            0            0            0            0           69            0         1336            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0        13581            0        27841            0            0            0            0            0            0            0            0            0
                                        2carat Diamond        33272         2323            0          229            0            0            0            0            0            0            3            0            0          547          666          157            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         4111         3313            0          170            0            0            0            0            0            0          743            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           58            0            0         5849            0        15102            0            0            0            0            0            0            0            0            0
                                        3carat Diamond        21264         1454            0            0            0            0            0            0            0            0            0            0            0          376          360           99            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2786         2128            0          111            0            0            0            0            0            0          472            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            7            0            0            0            0           15            0            0            0            1          193            0         3841            0         9421            0            0            0            0            0            0            0            0            0
                                      99 Battle Manual          190           15           23           16            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          118            0            0            0            0            0            0            0            0           10            0            0            0            0            0            0            0            0            0            0
                                  99 Battle Manual Box          173           13           23           17            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          102            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0
                                              Amethyst        13567          915            0          798            0            0            0            0            0            0            0            0            1          233          269           55          310            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1712         1277            0           60            0            0            0            0           11            0          316            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           21            0            0         1885            7         5696            0            0            0            0            0            0            0            0            0
                                            Angel Wing           70            2            5            2            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            1            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0            2            0            1            3            2            3            0            3            4            0            5            4            9            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0
                                           Animal Skin        13442           62            0            1            0            0            0            0            1          198            3            0            0            0            0            0            0           21            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0         1370            0            0            0            0            0            0            0            0            1            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         9062            0            0            0            0            0            0            1            0            0            0            0            0            0            0         2714            0            0            0            0            0            0            0            0
                                               Ant Jaw          820           19            0            0            0            0            0            0            0            0            0            0            1            0            0            0          179            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0            0            0            0            0          555            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           38            0            0            0            0            0            0            0            0            0           17            0            0            0            0            0            0            0            0            0            0            0
                                            Aquamarine        15161         1186            0         1032            0            0            0            0            0            0            0            0            0          290          307           54            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1660            0           79            0            0            0            0          105            0          380            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           65            0            0            0            0            0            0            0            0            8            0            0         2515            0         7480            0            0            0            0            0            0            0            0            0
                                       Assassin Dagger           62            1            2            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            3            0            1            9            4            4            0            4            6            2            3            3            2            0            0            0            0            0            0            1            0            2            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0
                                                 Azoth           27            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            1            0            0            0            1            2            1            5            0            0            0            0            2            0            1            2            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0
                                      Beast Powder Box           25            3           11            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0
                                       Black Dyestuffs        12666         1122          154            0            0            0            0            0            0            0            0            0            0          105            0          276           21          343            0            0            0            0            0            0          257            0            0            0            0            0            0            0            0            0            0          254            0           17            0            0            0            0         3274          765         1141            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           25            0            0         2340         1488         1084            0            0            0            0            0            0            0            0            0
                                            Bloody Axe           81            9            7            4            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            4            7            3            0            0            5            6            4           12            2            5            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0            0
                                             Chocolate        30588         2812            0            0            0            0            0            0            0          635            0            0            0            0            0            0            0          994            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1178            0            0            0            0            0         7873          988          987            0          386            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           33            0            0            0           36         2266            0         5991         3899         2510            0            0            0            0            0            0            0            0            0
                                       Chocolate Drink        29654         2821            0            0            0            0            0            0            0            0            0            0            0            0            0          687            0          964            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1228            0            0            0            0            0         7618          991          941            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           34         7157            0         2734         1964         2515            0            0            0            0            0            0            0            0            0
                                                  Coal        53690         3859         1548         3249            0            0            0            0            0           18            0            0            0         1231          433            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         3471         4470         4003            0            0            0            0            0         1509         2128         4389            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           57            0            0            0            0           54            0            0            0            0            0            0         3934         4384        14953            0            0            0            0            0            0            0            0            0
                                  Cobaltblue Dyestuffs        12681          715          167            0            0            0            0            0            0            0            0            0            0           93            0          304            0          379            0            0            0            0            0            0          286            0            0            0            0            0            0            0            0            0            0          230            0           21            0            0            0            0         3616          712         1152            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0         2402         1481         1112            0            0            0            0            0            0            0            0            0
                                               Coronet           73            2            2            1            0            0            0            0            0            0            0            0            0            1            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            1            0            0            0            2            1            4            0            0            7            5            4            5            9            0            0            6            0            1            1            3            0            0            0            0            0            1            0            0            0            2            1            0            0            0            0            0            1            0            0            0
                                               Corsair           94            3            7           12            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            8            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            0            1            2            0            0            0            0            5            6            4            0            0            9            5            3            2            7            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            4            0            0            0            0            0            0            0            0            1            0
