                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7
                                      99 Battle Manual          190           15           23           16            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          118            0            0            0            0            0            0            0            0            0           10            0            0            0            0            0            0            0            0            0
                                  99 Battle Manual Box          173           13           23           17            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          102            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0
                                            Angel Wing           50            2            5            2            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            8            2            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0            2            0            1            0            0            0            0            0            0            0            1            0            1            0            0            0            0            0            3            0            0            1            0            0            0            0            0            0            0            0            0
                                               Ant Jaw          535           19            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           19            0           11            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           18            0           38            0            0            0            0            0            0            0            0          412            0           17            0            0            0            0            0            0            0            0            0            0
                                       Assassin Dagger           25            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            3            1            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            3            0            1            0            0            0            0            0            0            0            1            0            1            0            0            0            0            0            2            0            0            2            0            0            0            0            0            0            0            0            0
                                                 Azoth           21            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            3            0            3            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            4            0            1            2            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0
                                      Beast Powder Box           32            3           11            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            7            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0
                                       Black Dyestuffs        10100          744          154            0            0            0            0            0            0            0            0            0            0          105            0          276          343            0            0            0            0            0            0          257            0            0            0            0            0            0            0            0            0            0            0          354            0          254            0            4            3           17            0            0            0            0          978          380          784            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0           25          509            0         2340         1488         1084            0            0            0            0            0            0            0            0
                                            Bloody Axe           59            9            7            4            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            1           13            5            0            0            0            0            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            1            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0
                                             Chocolate        22966         1953            0            0            0            0            0            0            0          635            0            0            0            0            0            0          994            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2288          988          987            0          386            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           33            0            0            0            0           36         2266            0         5991         3899         2510            0            0            0            0            0            0            0            0
