                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  sqtreasure1  sqtreasure2  sqtreasure3  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900   tropicalf1      yothor1      yothor2      yothor3      zampow1     zinjipo1      zipodi1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                      99 Battle Manual          190           15           23           16            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          118            0            0            0            0            0            0            0            0            0            0            0            0            0           10            0            0            0            0            0            0            0            0            0            0            0            0
                                  99 Battle Manual Box          173           13           23           17            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          102            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0            0
                                            Angel Wing           48            2            5            2            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            8            2            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0            2            0            1            0            0            0            0            0            0            0            1            0            0            0            0            1            0            0            0            0            0            1            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0
                                               Ant Jaw          524           19            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0           11            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           18            0           38            0            0            0            0            0            0            0            0            0            0            0          412            0            0           17            0            0            0            0            0            0            0            0            0            0            0            0            0
                                       Assassin Dagger           26            1            2            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            1            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            4            0            0            3            0            1            0            0            0            0            0            0            0            1            0            0            0            0            1            0            0            0            0            0            1            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0
                                                 Azoth           22            1            1            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            3            0            3            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            4            0            1            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0            0            0
                                      Beast Powder Box           32            3           11            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            7            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0
                                       Black Dyestuffs         8969          744          154            0            0            0            0            0            0            0            0            0            0          105            0          276            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          354            0            1            0            4            3           17            0            0            0            0          700          380          784            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0           25          509            0            0         2340         1488         1084            0            0            0            0            0            0            0            0            0            0            0
                                            Bloody Axe           59            9            7            4            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            1           13            5            0            0            0            0            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            1            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0
                                             Chocolate        20424         1953            0            0            0            0            0            0            0          635            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          740          988          987            0          386            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           33            0            0            0            0           36         2266            0            0         5991         3899         2510            0            0            0            0            0            0            0            0            0            0            0
                                       Chocolate Drink        19691         1947            0            0            0            0            0            0            0            0            0            0            0            0            0          687            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          721          991          941            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           34         7157            0            0         2734         1964         2515            0            0            0            0            0            0            0            0            0            0            0
                                                  Coal        49884         2018         1548         1583            0            0            0            0            0           18            0            0            0          809            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          976          870         1881         4003            0         1643          131            0            0            0            0         1509         2128         4389            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           57            0            0            0            0            0            0            0           54            0        15013            0            0            0            0            0            0         3934         4384         2936            0            0            0            0            0            0            0            0            0            0            0
                                  Cobaltblue Dyestuffs         8999          370          167            0            0            0            0            0            0            0            0            0            0           93            0          304            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          349            0            0            0            0            0           21            0            0            0            0         1103          354          765            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0           11          465            0            0         2402         1481         1112            0            0            0            0            0            0            0            0            0            0            0
                                               Coronet           42            2            2            1            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            2            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            1            0            0            0            0            0            7            0            3            1            3            0            0            0            0            0            0            0            0            0            1            1            0            0            0            2            1            0            0            0            0            0            0            0            1            0            0            0
                                               Corsair           66            3            7           12            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            6            0            0            0            2            8            7            1            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            1            2            0            0            0            0            5            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            1            0
                                       Cracked Diamond        33767         1303          175            0            0            0            0            0            0            0            0            0            0          519           29         1035            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          804          400            0            0            0            0           63            0            0            0            0         5043         1407         3400            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         6445            0            0            6          953            0            0         2670         5854         3661            0            0            0            0            0            0            0            0            0            0            0
                                          Crystal Blue        64786         2481            0            0            0            0            0            0            0            0            0            1            0         1150            0            0          229            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0         1158         1087            0            0            0            0          147            0            0            0            0        15603         2615         5349            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           32            0            0            0            0            0            0            0            0            0        12065          848          200          300         7119            0            0         5027         5540         3830            0            0            0            0            0            0            0            0            0            0            0
                                           Cursed Ruby        52553         2326          185            0            0            0            0            0            0            0            0            0            0          827           53         1542            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1110          657            0            0            0            0          110            0            0            0            0        10498         2012         4889            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           85            0            0            0            0            0            0            0            0            0        11925            0          302           25         4685            0            0         3904         4590         2828            0            0            0            0            0            0            0            0            0            0            0
                                                Cutlus           25            2            4            4            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            2            1            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0
                                   Darkgreen Dyestuffs         8944          758          196            0            0            0            0            0            0            0            0            0            0          102            0          289            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          332            0            0            0            0            0           18            0            0            0            0          671          357          783            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0           19          493            0            0         2366         1507         1050            0            0            0            0            0            0            0            0            0            0            0
                                              Emperium        12369          856          174            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          664           73          134            0           12          140           24            0            0            0            0         1226          520         1019            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           18           14          807            0            0         3054         2129         1505            0            0            0            0            0            0            0            0            0            0            0
                                          Empty Bottle       291790        29520        29818            0            0            2            0            0            5            0            0            0            0            0            0            0         1774            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            3            0            0         9745           37        25911            0           14            2            0            0          869            0           64            0            0            0            2            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1863            0            0            0            0            0            0            0            0        30000        30000        30000        30000        30000        30000            0            0            0            0            0        11305          837            7            0            0            0            0            0            0            0            0
                                              Erde [2]           37            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            4           10            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            1            0            0            0            1            0            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            4            0            0            0            0            0            0            0            0            0            0            0            0
                                             Evil Wing           43            4            3            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            6            2            6            0            0            0            0            0            1            0            2            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            1            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            1            0            0            0            0            0            0            0            0            0            0            0
                                             Fireblend           45            2            2            3            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            1            1           18            0            0            0            8            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0
                                           Flame Heart        33836         1723          161            0            0            0            0            0            0            7            0            0            0          547            0          261            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          813          460            0            0            4            0           79            0            0            0            0         6824         1370         3015            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0         6773            0            0            0         1090            0            0         2764         5821         2123            0            0            0            0            0            0            0            0            0            0            0
                                         Fortune Sword          105            7           15            9            0            2            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0            0            0            4            4           14            9            0            0            1            0            1            7            0            6            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            1            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0
                                              Gae Bolg          116            7           13           13            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            2            2            4            0            0            0            0            0           10            0            1            0            0            0            0            0            0            0            0            0            0            1            3            0            0            0            0            8           16            0            0            0            0            0            9           20            0            0            0            0            0            0            0            0            1            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0
                                         Giant Axe [1]           16            3            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            3            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                          Great Nature        33018         1779          159            0            0            0            0            0            0            0            0            0            0          542            0          287            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          772          433            0            0            0            0           75            0            0            0            0         6958         1461         2944            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            7            0            0            0            0            0            0            0            0            0         6809            0            0            3          307            0            0         2832         5463         2089            0           98            0            0            0            0            0            0            0            0            0

