                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3   delusion12    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15      fsage19       fsage1      fsage20      fsage21      fsage22      fsage23      fsage24      fsage25      fsage26      fsage27       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard2    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100   nethack200   nethack300   nethack400   nethack500     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16    sqmchnt17    sqmchnt18    sqmchnt19     sqmchnt1    sqmchnt20    sqmchnt21    sqmchnt22    sqmchnt23    sqmchnt24    sqmchnt25    sqmchnt26    sqmchnt27    sqmchnt28    sqmchnt29     sqmchnt2    sqmchnt30    sqmchnt31    sqmchnt32    sqmchnt33    sqmchnt34    sqmchnt35    sqmchnt36     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  sqtreasure1  sqtreasure2  sqtreasure3  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                        1carat Diamond       135226            2            0            0            0            0            0            0            0            0            0            0            0         1108            0          251            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         4525         4689         2487            0            0            0        27612         7990         6135         9097        15298         1827          275            0            0            0            0            0            0            0            0         9823            0         1336            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            2            0        13581            0        29177            0            0            0            0            0            0            0            0            0            0
                                        2carat Diamond        69335            2            0            0            0            0            0            0            0            0            3            0            0          547            0          157            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2570         2523         1332            0            0            0        14850         4111         3313         4799         8229          962          173            0            0            0            0            0            0            0            0        19111            0          743            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           58            2            0         5849            0            0            0            0            0            0            0            0            0            0            0            0
                                        3carat Diamond        43765            1            0            0            0            0            0            0            0            0            0            0            0          376            0           99            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1544         1533          804            0            0            0         9320         2786         2128         2987         5159          586          113            0            0            0            0            0            0            0            0        11977            0          472            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            7            0            0            0            0            0            0            0           23            0            0            0            0            1            7            0         3841            0            0            0            0            0            0            0            0            0            0            0            0
                                      99 Battle Manual          190           15           23           16            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          118            0            0            0            0            0            0            0            0            0            0            0            0           10            0            0            0            0            0            0            0            0            0            0            0
                                  99 Battle Manual Box          173           13           23           17            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          102            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0
                                              Amethyst        31251            1            0            0            0            0            0            0            0            0            0            0            1          233            0           55          459            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          941          975          501            0            0            0         5548         1712         1278         1797         3103          337           60            0            0            0            0            0            0            0            0         7982            0          316            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         4038            0            0           21            0            0         1885            7            0            0            0            0            0            0            0            0            0            0            0
                                            Angel Wing           99            2            5            2            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            2            0            0            0            0            0            0            0            0            0            8            8            2            1            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0            2            0            1            3            2            3            0            3            4            0            5            4            9            0            3            6            4            0            3            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0
                                           Animal Skin        13406           62            0            1            0            0            0            0            1          198            3            0            0            0            0            0            0           21            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1370            0            1            0            0            0            0            0            0            0            0            0            0            0            0            1            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         9021            0            0            0            0            0            0            0            4            0            0            1            0            0            0            0            0            0            0            0         2714            0            0            0            0            0            0            0            0
                                               Ant Jaw          944           19            0            0            0            0            0            0            0            0            0            0            1            0           50            0          253           38            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0            0            0            0            0            0            0            0            0            0            0            0          555            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           17            0            0            0            0            0            0            0            0            0            0            0            0
                                       Assassin Dagger           74            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            3            1            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            3            0            1            9            4            4            0            4            6            2            3            3            2            0            1            2            1            0            3            4            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            2            0            0            2            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0
